Error(cP),Viscosity(cP),molar ratio of DES (mol/mol),mole fraction of water (mol/mol),temperature (K),DOI
1.92,64,0.5,0,323.15,10.1039/c0gc00395f
1.56,52,0.5,0,328.15,10.1039/c0gc00395f
5.18,259,0.5,0,298,10.1039/c1cp22554e
3.76,188,0.5,0,303,10.1039/c1cp22554e
2.8,140,0.5,0,308,10.1039/c1cp22554e
2.08,104,0.5,0,313,10.1039/c1cp22554e
1.64,82,0.5,0,318,10.1039/c1cp22554e
1.28,64,0.5,0,323,10.1039/c1cp22554e
1.04,52,0.5,0,328,10.1039/c1cp22554e
NG,64.87,0.5,0.557909911,293.15,10.1039/c5cp01493j
NG,86.707,0.5,0.47105621,293.15,10.1039/c5cp01493j
NG,129.312,0.5,0.359851027,293.15,10.1039/c5cp01493j
NG,170.685,0.5,0.291284081,293.15,10.1039/c5cp01493j
NG,213.443,0.5,0.210533018,293.15,10.1039/c5cp01493j
NG,311.565,0.5,0.115156984,293.15,10.1039/c5cp01493j
NG,314.245,0.5,0.04915693,293.15,10.1039/c5cp01493j
NG,330.824,0.5,0.024856622,293.15,10.1039/c5cp01493j
NG,3.464,0.5,0.947337624,290.803,Abdullah and Kadhom (IJERD)
NG,3.464,0.5,0.947337624,293.235,Abdullah and Kadhom (IJERD)
NG,4.619,0.5,0.947337624,298.309,Abdullah and Kadhom (IJERD)
NG,2.309,0.5,0.947337624,303.277,Abdullah and Kadhom (IJERD)
NG,2.309,0.5,0.947337624,308.245,Abdullah and Kadhom (IJERD)
NG,3.464,0.5,0.947337624,313.213,Abdullah and Kadhom (IJERD)
NG,2.309,0.5,0.947337624,323.256,Abdullah and Kadhom (IJERD)
NG,2.309,0.5,0.947337624,333.192,Abdullah and Kadhom (IJERD)
NG,2.309,0.5,0.947337624,343.235,Abdullah and Kadhom (IJERD)
NG,3.464,0.5,0.947337624,353.383,Abdullah and Kadhom (IJERD)
NG,18.476,0.5,0.666529436,298.309,Abdullah and Kadhom (IJERD)
NG,16.166,0.5,0.666529436,303.171,Abdullah and Kadhom (IJERD)
NG,12.702,0.5,0.666529436,308.245,Abdullah and Kadhom (IJERD)
NG,10.393,0.5,0.666529436,313.319,Abdullah and Kadhom (IJERD)
NG,9.238,0.5,0.666529436,323.256,Abdullah and Kadhom (IJERD)
NG,5.774,0.5,0.666529436,333.298,Abdullah and Kadhom (IJERD)
NG,4.619,0.5,0.666529436,343.235,Abdullah and Kadhom (IJERD)
NG,3.464,0.5,0.666529436,353.277,Abdullah and Kadhom (IJERD)
NG,145.497,0.5,0.399851815,285.624,Abdullah and Kadhom (IJERD)
NG,122.402,0.5,0.399851815,288.055,Abdullah and Kadhom (IJERD)
NG,105.081,0.5,0.399851815,290.592,Abdullah and Kadhom (IJERD)
NG,91.224,0.5,0.399851815,293.129,Abdullah and Kadhom (IJERD)
NG,80.831,0.5,0.399851815,295.56,Abdullah and Kadhom (IJERD)
NG,70.439,0.5,0.399851815,298.097,Abdullah and Kadhom (IJERD)
NG,61.201,0.5,0.399851815,300.634,Abdullah and Kadhom (IJERD)
NG,55.427,0.5,0.399851815,303.065,Abdullah and Kadhom (IJERD)
NG,43.88,0.5,0.399851815,308.139,Abdullah and Kadhom (IJERD)
NG,35.797,0.5,0.399851815,313.213,Abdullah and Kadhom (IJERD)
NG,25.404,0.5,0.399851815,323.15,Abdullah and Kadhom (IJERD)
NG,19.63,0.5,0.399851815,333.192,Abdullah and Kadhom (IJERD)
NG,15.012,0.5,0.399851815,343.129,Abdullah and Kadhom (IJERD)
NG,11.547,0.5,0.399851815,353.171,Abdullah and Kadhom (IJERD)
NG,422.633,0.5,0.156440236,293.12885,Abdullah and Kadhom (IJERD)
NG,169.7459584,0.5,0.156440236,298.097,Abdullah and Kadhom (IJERD)
NG,127.021,0.5,0.156440236,303.171,Abdullah and Kadhom (IJERD)
NG,102.771,0.5,0.156440236,308.139,Abdullah and Kadhom (IJERD)
NG,78.522,0.5,0.156440236,313.108,Abdullah and Kadhom (IJERD)
NG,50.808,0.5,0.156440236,323.15,Abdullah and Kadhom (IJERD)
NG,35.8,0.5,0.156440236,333.192,Abdullah and Kadhom (IJERD)
NG,26.559,0.5,0.156440236,343.128,Abdullah and Kadhom (IJERD)
NG,21.94,0.5,0.156440236,353.065,Abdullah and Kadhom (IJERD)
NG,379.47,0.5,0,293.017,Abdullah and Kadhom (IJERD)
NG,272.179,0.5,0,298.069,Abdullah and Kadhom (IJERD)
NG,196.157,0.5,0,303.027,Abdullah and Kadhom (IJERD)
NG,145.444,0.5,0,307.986,Abdullah and Kadhom (IJERD)
NG,109.618,0.5,0,313.044,Abdullah and Kadhom (IJERD)
NG,66.255,0.5,0,323.065,Abdullah and Kadhom (IJERD)
NG,43.736,0.5,0,333.087,Abdullah and Kadhom (IJERD)
NG,28.661,0.5,0,343.111,Abdullah and Kadhom (IJERD)
NG,21.032,0.5,0,353.037,Abdullah and Kadhom (IJERD)
